text,text bersih,label,label manual,,,jumlah true,33
"Dari mana asalnya ide perpanjangan masa jabatan kepala desa ini? 

Baca: https://t.co/ZsF4Qgq7Em https://t.co/NgPnnWjPYE",asal ide panjang jabat kepala desa baca,Netral,Netral,1,,jumlah false,17
"Dukung Menteri Desa 
untuk masa Jabatan Kepala Desa 9 tahun 
@jokowi 
@halimiskandarnu
@Kemendespdtt
@malik_haramain
@imansyukri
@taufikmadjid71
@yusradaridesa 
@azzameldzikrie 
@tppkemendes https://t.co/gb0NigWvwE",dukung menteri desa jabat kepala desa,Positif,Positif,1,,,
"Dalam kubur masih menjabat 

Apdesi Minta Masa Jabatan Kepala Desa Bisa Sampai 27 Tahun https://t.co/pVK0Qiewpi",kubur jabat apdesi jabat kepala desa,Negative,Negative,1,,persentase benar,0.66
"F PkB sepakat revisi uu desa 
Bahwa kepala desa masa jabatan 
09 Tahun. https://t.co/zzcL3krhFG",pkb sepakat revisi uu desa kepala desa jabat,Positif,Positif,1,,,
"Secara logika yang berkepentingan demo perpanjangan masa jabatan kepala desa itu seharusnya para warga desa seluruh Indonesia
Apakah nanti para kepala daerah akan demo juga untuk minta perpanjangan masa jabatan mereka?",logika ting demo panjang jabat kepala desa warga desa indonesia kepala daerah demo panjang jabat,Negative,Negative,1,,,
"Nah, kalau kepala desa ini minta perpanjangan masa jabatan 9 tahun kasih aja, sebagai Kepala Desa Tahanan...ğŸ˜",kepala desa panjang jabat kasih kepala desa tahan,Positif,Negative,0,,,
"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? 
Butuh Islam kaffah
Serba serbi MMC
https://t.co/QpxORMQTrT",panjang jabat kepala desa sorot panjang tangan oligarki butuh islam kaffah serba serbi mmc,Positif,Netral,0,,,
Alasan Mengapa Harus Menolak Wacana Perpanjangan Masa Jabatan Kepala Desa https://t.co/Jkt0cdhW5Y,alas tolak wacana panjang jabat kepala desa,Negative,Netral,0,,,
"Terima Kepala Desa se-Indonesia, F-PKB Siap Perjuangkan Masa Jabatan Kades 9 Tahun

PKB Untuk Desa
Gus Muhaimin https://t.co/hyBd44DUgS",terima kepala desa indonesia pkb juang jabat kades pkb desa gus muhaimin,Positif,Positif,1,,,
"Ribuan Kepala Desa Demo di DPR Tuntut Perpanjangan Masa Jabatan hari ini, Rabu 18/01/2023.
__

Sebagai informasi buat para Kepala Desa bahwa Presiden Jokowi menyetujui tuntutan para Kades atas perpanjangan masa jabatan.
__
Pasti pak Jokowi dirayu sama Mas @budimandjatmiko ğŸ˜ https://t.co/GlmoKTfS9j",ribu kepala desa demo dpr tuntut panjang jabat rabu informasi kepala desa presiden jokowi tuju tuntut kades panjang jabat jokowi rayu mas,Positif,Positif,1,,,
"Apdesi minta masa jabatan kades sampai 27 tahun.Â  Asosiasi Pemerintah Desa Seluruh Indonesia (Apdesi) meminta agar masa jabatan kepala desa tidak hanya diubah menjadiÂ  9 tahun tapiÂ  juga bisa menjabat hingga 27 tahun atau tiga periode

https://t.co/weBtYVmcZW",apdesi jabat kades asosiasi perintah desa indonesia apdesi jabat kepala desa ubah jabat periode,Netral,Netral,1,,,
"Kami Mendukung Menteri Desa Dalam Memperjuangkan Masa Jabatan Kepala Desa Menjadi 9 Tahun 
@jokowi 
@halimiskandarnu
@Kemendespdtt
@malik_haramain
@imansyukri
@taufikmadjid71
@yusradaridesa 
@azzameldzikrie 
@tppkemendes",dukung menteri desa juang jabat kepala desa,Netral,Positif,0,,,
"Perkumpulan Pemerintah Desa Seluruh Indonesia (PAPDESI) menyebut ada pihak yang sengaja mengambil keuntungan dengan mempolitisasi revisi terbatas Undang-undang Desa Nomor 6/2014. Pasalnya, mereka hanya memfokuskan revisi itu hanya pada perpanjangan masa jabatan kepala desa. https://t.co/lId6SumeRk",kumpul perintah desa indonesia papdesi sebut sengaja ambil untung politisasi revisi batas undang undang desa nomor pasal fokus revisi panjang jabat kepala desa,Positif,Negative,0,,,
"Usulan perubahan masa jabatan kepala desa https://t.co/OzObbTnIzv 

@Kemenkumham_RI @bhp_semarang #bhpsemarang #KumhamPasti #KumhamSemakinPasti #kamipasti #kumham #Kemenkumham #kemenkumhamri #kumhamproduktif #berita #Twitter #BreakingNews #socialmedia #desa #jateng #viral",usul ubah jabat kepala desa,Netral,Netral,1,,,
@budimandjatmiko Wacana perpanjangan masa jabatan kepala desa lebih banyak mudorotnya dan berpotensi mematikan demokrasi daripada kuantumnya pak bud. Ngapain yang kayak gitu diaspirasikan?,wacana panjang jabat kepala desa mudorotnya potensi mati demokrasi kuantum bud kapai kayak aspirasi,Negative,Negative,1,,,
PKB SUDAH RESMI MEMBERIKAN DUKUNGAN MASA JABATAN KEPALA DESA MENJADI 9 TAHUN https://t.co/XHxzVSK5Du,pkb resmi dukung jabat kepala desa,Positif,Positif,1,,,
"Kepala Desa adalah ujung tombak dari penyelnggara pemerintahan dalam bingkai NKRI dan merupakan penyelanggara perintahan paling pinggiran, karna itu wajar kalau masa jabatan di refisi
#PKB_Bersama Kades
#Gus_Muhaimin https://t.co/ItkXIzXdvh",kepala desa ujung tombak penyelnggara perintah bingkai nkri penyelanggara perintah pinggir wajar jabat refisi kades,Netral,Netral,1,,,
"Pantaslah APDESI minta tambah masa jabatan.
Timbal balik nya jika jabatan 9 tahun didapat.
Diduga Kepala Desa akan diarahkan untuk menggerakkan warga nya supaya memilih calon presiden tertentu.

Ternyata Luhut Jabat Dewan Pembina APDESI Sejak 6 Bulan Lalu https://t.co/Fiv7Przvtw",pantas apdesi jabat timbal nya jabat duga kepala desa arah gerak warga nya pilih calon presiden luhut jabat dewan bina apdesi,Negative,Negative,1,,,
"Pengamat Politik Lembaga Hikmah dan Kebijakan Publik (LHKP) PP Muhammadiyah, Ridho Al-hamdi mendorong agar Asosiasi Pemerintah Desa Seluruh Indonesia (Apdesi) berhenti menyuarakan tuntutan perpanjangan masa jabatan kepala desa.

https://t.co/RmIJMTG2h1

#KepalaDesa #Muhammadiyah",amat politik lembaga hikmah bijak publik lhkp pp muhammadiyah ridho al hamdi dorong asosiasi perintah desa indonesia apdesi henti suara tuntut panjang jabat kepala desa,Positif,Negative,0,,,
Persilahkan aspirasi masa jabatan kepala desa di sampaikan ke DPR https://t.co/hVJGdUixbY,silah aspirasi jabat kepala desa dpr,Netral,Positif,0,,,
Kemendes: Sudahi Polemik Masa Jabatan KepalaÂ Desa https://t.co/zYOT7o05S8,kemendes sudah polemik jabat kepaladesa,Netral,Netral,1,,,
"Apresiasi kepala desa melle kec. Dua Boccoe Kab. Bone kepada Fraksi PKB yang telah menerima aspirasi kepala Desa untuk masa jabatan kepala desa 6 tahun menjadi 9 tahun
PKB untuk Desa
Gus Muhaimin https://t.co/VeLBxEeFH5",apresiasi kepala desa melle kec boccoe kab bone fraksi pkb terima aspirasi kepala desa jabat kepala desa pkb desa gus muhaimin,Positif,Positif,1,,,
"Kita dukung dan kawal bersama perubahan UU No 6 th 2014 tentang desa ,terkait masa jabatan Kepala Desa https://t.co/uAdqtgoyPQ",dukung kawal ubah uu no desa kait jabat kepala desa,Positif,Positif,1,,,
"Folemik perpanjangan masa jabatan kepala desa adalah sangat wajar karena setiap subjek minimal ada dua sisi bahkan bisa dilihat dari lebih dari dua sisi,misalnya ada sisi negatif dan ada sisi positip akibat dari masa jabatan tsb, kalau andaikan kadesnya berprilaku negatip",folemik panjang jabat kepala desa wajar subjek minimal sisi sisi sisi negatif sisi positip akibat jabat andai kades berprilaku negatip,Negative,Negative,1,,,
"Terima Perwakilan Kepala Desa, Ketua MPR RI Bamsoet Dukung Perpanjangan Masa Jabatan Kepala Desa https://t.co/qfEJS9sDEn lewat @Silabus Kepri",terima wakil kepala desa ketua mpr ri bamsoet dukung panjang jabat kepala desa kepri,Positif,Positif,1,,,
"Parpol yang percaya ancaman kepala desa bahwa mereka akan menghabisi parpol yang tidak setuju permintaan perpanjangan masa jabatan kades jadi 9 tahun itu parpol yang mungkin kurang paham kehidupan desa.

Mendukung cakades satu urusan, memilih parpol itu urusan yg lain.",parpol percaya ancam kepala desa habis parpol tuju minta panjang jabat kades parpol paham hidup desa dukung cakades urus pilih parpol urus,Positif,Negative,0,,,
"Desa Mendukung Revisi UUD Nomor 6 Tahun 2014 tentang Perpanjangan Masa Jabatan Kepala Desa dari 6 tahun menjadi 9 tahun.
#DesaBisa #DesaMaju 

@GusMuhaimin 
@DPP_PKB https://t.co/GVX8C1esYi",desa dukung revisi uud nomor panjang jabat kepala desa,Positif,Positif,1,,,
"Suara dari kedua pihak harus didengar. Yang mengkhawatirkan perpanjangan kepala desa dari 6 tahun menjadi 9 tahun kali dua periode, serta yang
setuju rasionalisasi perpanjangan masa jabatan kades.  Silakan dikaji secara akademis.

https://t.co/nea7mH0Auf

#PDIPerjuangan https://t.co/i7hvOENtwB",suara dengar khawatir panjang kepala desa kali periode tuju rasionalisasi panjang jabat kades sila kaji akademis,Negative,Netral,0,,,
"Antony Budiawan: 
""Mungkin dalam waktu dekat, Kepala Desa ramai-ramai akan menyuarakan perpanjangan masa jabatan presiden. Rakyat harus melawan"".
#JokowiParnoAniesPresiden",antony budiawan kepala desa ramai ramai suara panjang jabat presiden rakyat lawan,Netral,Negative,0,,,
"Menurut politikus PDI Perjuangan (PDIP) (@PDI_Perjuangan), Budiman Sudjatmiko (@budimandjatmiko) yang merupakan inisiator dan penggagas UU Desa, aspirasi perpanjangan masa jabatan kepala desa penting untuk kestabilan politik di desa.",politikus pdi juang pdip budiman sudjatmiko inisiator gagas uu desa aspirasi panjang jabat kepala desa stabil politik desa,Positif,Positif,1,,,
"(r)  maka Kepala Desa tidak akan mampu jalankan program programnya dengan baik termasuk tidak mampu atasi problem keterbelahan sosial itu. Jadi solusinya bukan perpanjang masa jabatan,"" ujar Ubedilah.",kepala desa jalan program program atas problem belah sosial solusi panjang jabat ubedilah,Positif,Positif,1,,,
GMNI Probolinggo Tolak Perpanjangan Masa Jabatan Kepala Desa https://t.co/HcOWqxMyM4,gmni probolinggo tolak panjang jabat kepala desa,Negative,Negative,1,,,
"Amerika Serikat, negara sebesar itu, presidennya masa jabatan hanya 4 tahun. Presiden RI, masa jabatannya 5 tahun. Bisa-bisanya kepala desa diberi masa jabatan 6 tahun masih kurang dan minta diperlanjang jadi 9 tahun.

Apakah desa lebih besar dari RI atau AS?

#mikir",amerika serikat negara presiden jabat presiden ri jabat bisa kepala desa jabat lanjang desa ri as,Negative,Negative,1,,,
"Kepala Desa Mendukung masa jabatan yg semula 6 tahun menjadi 9 tahun.
#PKB 
@jokowi 
@halimiskandarnu 
@malik_haramain 
@tppkemendes https://t.co/WL7QCWoLon",kepala desa dukung jabat,Positif,Positif,1,,,
"Gus Muhaimin Setuju, PKB Bersama Kepala Desa, masa Jabatan 6 Th menjadi 9 Tahun https://t.co/sXwBkrKYHZ",gus muhaimin tuju pkb kepala desa jabat,Netral,Positif,0,,,
"..https://t.co/dng5P6dwtt

Fahri Hamzah menilai anggaran dana desa harus dinaikkan. Namun, lanjutnya, masa jabatan kepala desa dikurangi seiring penambahan anggaran tersebut.",fahri hamzah nilai anggar dana desa naik jabat kepala desa rang iring tambah anggar,Positif,Positif,1,,,
"Apdesi menyebut politikus PKB, sekaligus Mendes PDTT, selaku pihak yang mengompori kepala desa untuk menuntut perpanjangan masa jabatan.

https://t.co/EW4rvBZjZv",apdesi sebut politikus pkb mendes pdtt kompor kepala desa tuntut panjang jabat,Negative,Negative,1,,,
"@budimandjatmiko Mas Bud, dengan demikian apakah masa jabatan perangkat desa dapat mengikuti masa jabatan kepala desa jika ada kajian matang (yg masuk akal)?",mas bud jabat perangkat desa ikut jabat kepala desa kaji matang masuk akal,Positif,Positif,1,,,
"@zoelfick @tonyjonatan2 Mas @budimandjatmiko hal spt ini yg seharusnya jd kepekaan kepala desa dimanapun. Bukan malah nuntut masa jabatan 9 taon. 
Warga sendiri byk kesusahan",mas peka kepala desa mana nuntut jabat taon warga susah,Negative,Negative,1,,,
"kini masa jabatan kepala desa akan ditambah
#JokowiPresidenku
#PembangunanUntukRakyat
#PresidenJokowiHebat
#JokowiMembangunNegeri
#JokowiMajuBersamaIndonesia
#JokowiBapakInfrastruktur
#PERPPUCiptaKerjaDukungPertumbuhanEkonomi https://t.co/kHzt4Nv4Xm",jabat kepala desa tambah,Netral,Positif,0,,,
"PKB Terbaik Untuk Desa Gus Muhaimin. 
Mendukung Aspirasi Kepala Desa Seluruh Indonesia Atas Perjungan Dan Dukungan FPKB Yang Telah Melahirkan Revisi UUD NO.6 TH. 2014 Tentang Masa Jabatan Kepala Dari 6 Tahun Menjadi Masa Jabatan Lamanya 9 Tahun. Kedalam Prolegnas Prioritas 2023. https://t.co/EzUjwY43mA",pkb baik desa gus muhaimin dukung aspirasi kepala desa indonesia jung dukung fpkb lahir revisi uud no jabat kepala jabat dalam prolegnas prioritas,Positif,Positif,1,,,
"Dari level kepala desa hingga presiden, gagasan untuk memperpanjang masa jabatan hanyalah upaya untuk mengamankan kepentingan pribadi dan melanggengkan kekuasaan. Untuk ini, hanya ada satu jawaban: tolak.

Okky Madasari, ""Pak Lurah, Rakyat Dongkol""

Jawa Pos, 28/1/23, h.4.",level kepala desa presiden gagas panjang jabat upaya aman penting pribadi langgeng kuasa tolak okky madasari lurah rakyat dongkol jawa pos,Negative,Negative,1,,,
"Apakah Perangkat Desa Sekarang Di Jadikan MATA MATA.. Cukong, Konglomerat, OLIGARKI.. 

Kok Tiba-tiba.. Kepala Desa Di Setujui 9 Tahun.. Masa Jabatan nya.. 

Sungguh inilah Anomali Demokrasi.",perangkat desa jadi mata mata cukong konglomerat oligarki kepala desa tuju jabat nya sungguh anomali demokrasi,Netral,Negative,0,,,
"Semoga masa jabatan Kepala Desa menjadi 9 tahun, aamiin https://t.co/HLeGY2clY6",moga jabat kepala desa amin,Netral,Positif,0,,,
Usulan penambahan masa jabatan kepala desa menjadi 9 tahun mendapat berbagai respon dari warganet. Emangnya apa sih efek masa jabatan kepala desa diperpanjang untuk rakyatnya? #TerminalMojok https://t.co/opuy50BFRo,usul tambah jabat kepala desa respon warganet memang sih efek jabat kepala desa panjang rakyat,Netral,Negative,0,,,
"@DPP_PKB Masa jabatan kepala desa 9 tahun merupakan trobosan baru.. Bisa jadi trobosan baru ini menjadi lebih efektif dalam pembangunan desa apalagi sekarang ini, penggunaan anggarann Dana Desa sudah diatur persentase nya oleh PMK, sehingga otonomi tidak berjalan dengan maksimal..",jabat kepala desa trobosan trobosan efektif bangun desa guna anggarann dana desa atur persentase nya pmk otonomi jalan maksimal,Positif,Positif,1,,,
"@alisyarief Rakyat itu pingin nya kemajuan desa, kemakmuran masyarakat di desa bukan memajukan jumlah masa jabatan kepala desa.... rakyat malah pingin masa jabatan kepala desa cukup 4 tahun saja....",rakyat pengin nya maju desa makmur masyarakat desa maju jabat kepala desa rakyat pengin jabat kepala desa,Positif,Positif,1,,,
"@budimandjatmiko @jokowi Saya pikir abang ini orang yang punya indeologi bahwa dpr harus memiliki batas dalam menjabat 5 tahun dgan max 2 periode, tapi bagaimana dengan masa jabatan kepala desa ini kok over sekali bahkan mengalahkan masa jabatan presiden, kepala daerah. Apa anda tidk menasehati p.Jokowi",pikir abang orang indeologi dpr milik batas jabat dgan max periode jabat kepala desa over kalah jabat presiden kepala daerah tidk nasihat jokowi,Negative,Negative,1,,,
"Masa jabatan kepala desa 9 tahun
Ada udang dibalik batu ?

Dukung Menteri Desa
@jokowi 
@halimiskandarnu
@kemendespdtt 
@malik_haramain 
@imansyukri 
@taufikmadjid71 
@yusradaridesa 
@azzameldzikrie 
@tppkemendes https://t.co/USeAsUB69R",jabat kepala desa udang balik batu dukung menteri desa,Positif,Negative,0,,,
"@Fahrihamzah Andai panjang ingatan kita masa jabatan kepala desa pernah 5 tahun, 8 tahun 10 tahun dan sekarang 6 tahun artinya masa jabatan 9 tahun bukan hal baru",andai ingat jabat kepala desa jabat,Negative,Positif,0,,,